,PIZZA BY THE SLICE | FULL BAR,,,
,"FULL MENU SERVED FROM 11AM-9PM | FAST DELIVERY | PIZZA SERVED ALL DAY, EVERYDAY",,,
APPETIZERS,,,,
Garlic Knots,served with marinara sauce,(3) for 3.50,(6) for 6.99,(12) for 13.50
Boneless Wings,"fried chicken tenders served with your choice of sauce (mild, medium, hot, parmesean garlic, bbq, raspberry jalapeño, spicy garlic, lemon pepper)",8.99,,
Meatballs,homemade served with marinara sauce,7.99,,
French Fries,"crinkle cut seasoned fries, served with ketchup",3.99,,
,,,,
SALADS,(small/large),,,
,add roasted chicken for,3,,
Arugula,"golden raisin, candied walnut, cherry tomato, goat cheese",5.99/10.00,,
Caeser,"hearts of romaine, croutons, shaved parmesean, classic caeser dressing",4.99/7.99,,
Mixed Greens,"mixed greens, tomato, black olive, green pepper, onion",4.99/7.99,,
,,,,
SIGNATURE SUBS,,7.99,,
Cheesesteak,"our cheesesteak includes premium grilled steak, melted white american cheese add mushrooms, onions, or hot peppers for $0.25 each to spice it up!",,,
Chicken Parmesean,"homemade breaded chicken, mozzarella cheese, grated parmesean, marinara sauce",,,
Meatball Parmesean,"our signature homemade meatball recipe, topped with mozzarella cheese, grated parmesean, marinara sauce",,,
,,,,
SPECIALTY PIZZAS,,10 inch 11.99,18 inch 23.99,
RED PIES,,,,
Meat Lovers,"mozzarella, pepperoni, sausage, bacon, ham, meatball",,,
Veggie Lovers,"spinach, green pepper, tomato, mozzarella, mushroom, onion, olive, fresh garlic",,,
Hawaiian,"pineapple, ham, bacon, mozzarella",,,
4 Cgeese,"parmesan, mozzarella, provolone, ricotta",,,
Ciro's Special,"pepperoni, sausage, mushroom, green pepper, onion, extra cheese",,,
,,,,
WHITE PIES,,,,
BBQ Chicken,"roasted chicken, red onion, bbq sauce",,,
My Pie,"pepperoni, pesto sauce, mozzarella, ricotta",,,
Spinach,"fresh carlic, spinach, parmesan, mozzarella, ricotta",,,
Florentine,"fresh spinach, tomato, garlic, parmesan, ricotta, mozzarella",,,
Buffalo Chicken,"roasted chicken, mozzarella, bleu cheese, buffalo ranch sauce",,,
Margherita,"tomato, fresh garlic, basil, mozzarella",,,
The Shroom,"mushroom, fresh garlic, mozzarella, ricotta cheese",,,
CBR,"chicken, bacon, ranch dressing & diced tomato",,,
,,,,
CREATE YOUR OWN PIE,,10 inch cheese pizza 9.99,18 inch cheese pizza 18.99,
SAUCE,,,,
,red,,,
,pesto,,,
CHEESE,,,,
,ricotta,2,,
,provolone,2,,
,bleu cheese,2,,
,extra mozzarella cheese,2,,
,goat cheese,3,,
VEGGIES,,,,
,jalapeño,2,,
,pineapple,2,,
,green pepper,2,,
,onions,2,,
,banana pepper,2,,
,olive,2,,
,tomato,2,,
,mushroom,2,,
,garlic,2,,
,spinach,2,,
,basil,2,,
PROTEIN,,,,
,pepperoni,2,,
,sausage,2,,
,meatball,2,,
,ham,2,,
,bacon,2,,
,roasted chicken,3,,
,,,,
STROMBOLI,,10.99,,
Roni,"mozzarella, pepperoni",,,
Veggie,"spinach, tomato, mushroom, garlic, mozzarella",,,
Buffalo Chicken,"roasted chicken, mozzarella, bleu cheese, buffalo sauce",,,
HOUSE BOLI,"sausage, pepperoni, bacon, pepper, onions, mozarella",,,
Build Your Own Boli,choose up to 4 toppings,,,
,,,,
DINNERS,all dinners are served with 2 garlic knots,,,
Chicken Parmesan,"topped with mozzarella cheese, served with penne pasta, tossed in our homemade marinara sauce, fresh basil, parmesan cheese",11.99,,
Meat Lasagna,"prepared with our homemade meatball, sausage, ricotte, parmesan cheese, baked to perfection!",11.99,,
Penne Pasta,"homemade marinara sauce, fresh basil, parmesan cheese",8.99,add 2 meatballs for $3,
Bakes Penne Pasta with Sausage,"homemade marinara sauce, fresh basil, ricotte, parmesan cheese topped with mozzarella",11.99,,
,,,,
DESSERTS,,,,
Cheesecake,"cream cheese filling, graham cracker crust",5.99,,
Chocolate Mousse Pie,"chocolate mousse, whipped cream, chocolate cookie crust",5.99,,
Fudge Brownie,,1.99,,
,,,,
DRINKS,,,,
red bull,,3.99,,
zico coconut water,,3,,
bottled water,,2.29,,
20 oz soda,,3.25,,
vitamin water,,3.29,,
,,,,
,We have implemented a 3% surcharge to help pay for the increase costs associated with new and ever growing state and local government mandates. If you have any questions about this charge please ask to speak to a manager. Thank you.,,,
,,,,
,"PLATES, NAPKINS AND UTENSILS ARE AVAILABLE UPON REQUESTS",,,
